year,holiday,holiday_relative_day,date,day_of_week,location,status,pos_net_sales,refunds,invoice_sales,estimated_net_sales,tax,estimated_total_before_tips,order_count,item_rows,notes
2025,Memorial Weekend,Friday,2025-05-23,Friday,FAL,not_open,,,,,,,,,FAL was not open during Memorial Weekend 2025.
2025,Memorial Weekend,Friday,2025-05-23,Friday,OGT,open,1794.60,0.00,0.00,1794.60,142.21,1936.81,132,317,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2025,Memorial Weekend,Friday,2025-05-23,Friday,KBK,open,3751.37,6.92,0.00,3744.45,217.26,3961.71,223,509,"Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refunds are total completed refund amounts, including any tax portion."
2025,Memorial Weekend,Saturday,2025-05-24,Saturday,FAL,not_open,,,,,,,,,FAL was not open during Memorial Weekend 2025.
2025,Memorial Weekend,Saturday,2025-05-24,Saturday,OGT,open,4960.96,0.00,0.00,4960.96,382.52,5343.48,322,806,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2025,Memorial Weekend,Saturday,2025-05-24,Saturday,KBK,open,4511.75,0.00,0.00,4511.75,347.20,4858.95,303,847,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2025,Memorial Weekend,Sunday,2025-05-25,Sunday,FAL,not_open,,,,,,,,,FAL was not open during Memorial Weekend 2025.
2025,Memorial Weekend,Sunday,2025-05-25,Sunday,OGT,open,5828.96,5.02,0.00,5823.94,455.02,6278.96,406,993,"Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refunds are total completed refund amounts, including any tax portion."
2025,Memorial Weekend,Sunday,2025-05-25,Sunday,KBK,open,5992.40,8.91,0.00,5983.49,467.97,6451.46,393,1048,"Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refunds are total completed refund amounts, including any tax portion."
2025,Memorial Weekend,Monday,2025-05-26,Monday,FAL,not_open,,,,,,,,,FAL was not open during Memorial Weekend 2025.
2025,Memorial Weekend,Monday,2025-05-26,Monday,OGT,open,5080.35,0.00,0.00,5080.35,394.62,5474.97,343,920,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refund summary missing; refunds set to 0. Invoice summary missing; invoice_sales set to 0.
2025,Memorial Weekend,Monday,2025-05-26,Monday,KBK,open,5444.31,0.00,0.00,5444.31,425.52,5869.83,366,989,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refund summary missing; refunds set to 0. Invoice summary missing; invoice_sales set to 0.
2026,Memorial Weekend,Friday,2026-05-22,Friday,FAL,open,1320.90,0.00,0.00,1320.90,99.97,1420.87,132,236,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2026,Memorial Weekend,Friday,2026-05-22,Friday,OGT,open,2413.54,0.00,0.00,2413.54,187.47,2601.01,177,367,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2026,Memorial Weekend,Friday,2026-05-22,Friday,KBK,open,3422.86,0.00,0.00,3422.86,268.44,3691.30,254,565,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2026,Memorial Weekend,Saturday,2026-05-23,Saturday,FAL,open,1660.96,0.00,0.00,1660.96,129.85,1790.81,105,258,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2026,Memorial Weekend,Saturday,2026-05-23,Saturday,OGT,open,5494.67,37.91,0.00,5456.76,433.69,5890.45,363,804,"Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refunds are total completed refund amounts, including any tax portion."
2026,Memorial Weekend,Saturday,2026-05-23,Saturday,KBK,open,6100.43,25.92,0.00,6074.51,483.84,6558.35,381,952,"Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refunds are total completed refund amounts, including any tax portion."
2026,Memorial Weekend,Sunday,2026-05-24,Sunday,FAL,open,1641.48,0.00,0.00,1641.48,127.57,1769.05,101,260,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available.
2026,Memorial Weekend,Sunday,2026-05-24,Sunday,OGT,open,5231.27,0.00,0.00,5231.27,415.51,5646.78,320,759,"Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Invoice rows existed, but paid invoice total was 0."
2026,Memorial Weekend,Sunday,2026-05-24,Sunday,KBK,open,6299.37,11.18,0.00,6288.19,494.42,6782.61,338,979,"Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refunds are total completed refund amounts, including any tax portion."
2026,Memorial Weekend,Monday,2026-05-25,Monday,FAL,open,1569.61,0.00,0.00,1569.61,123.38,1692.99,123,263,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refund summary missing; refunds set to 0. Invoice summary missing; invoice_sales set to 0.
2026,Memorial Weekend,Monday,2026-05-25,Monday,OGT,open,3567.40,0.00,0.00,3567.40,276.11,3843.51,211,521,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refund summary missing; refunds set to 0. Invoice summary missing; invoice_sales set to 0.
2026,Memorial Weekend,Monday,2026-05-25,Monday,KBK,open,4291.79,0.00,0.00,4291.79,339.51,4631.30,253,678,Orders use existing completed/closed Orders API item-sales logic. Refunds use completed refund totals where available. Invoice sales use paid invoice totals where available. Refund summary missing; refunds set to 0. Invoice summary missing; invoice_sales set to 0.
